review_id,product_id,user_id,review_title,review_body,review_date,rating,helpful_votes,total_votes
R22563,B000CQ25QE,A1BCR9EKIVTNCA,"Quality Product, Not Suited For My Taste Buds","I've been eating Annie's Mac n' Cheese (not the whole wheat type) since 1994.  Amazon offers a excellent price (around $1.50 per box for certified organic, whoa!) and if I'm going to commit upfront to 12 boxes of mac and cheese, I figured I try to be a little healthier and get the whole wheat type.<br /><br />It is a quality product but it isn't suited to my taste buds.  I am surprised because I prefer brown rice and wild rice to white rice and generally enjoy whole wheat products.  But to this eater, the whole wheat shells were too heavy and chewy.  The watery white cheddar sauce enhanced the pasta's rougher texture and blandness.  (The white cheddar sauce is like an alfredo, and less creamy than Annie's regular cheddar.)  My friends love this stuff, but I think it's an acquired tasted.  If I had known what I know now, I'd have stuck with the enriched white (yet stripped of it's nutrients) shells or at least gone with the regular cheddar sauce.<br /><br />*Update*<br />While still not a full-on fan, I enjoying this product more now that:<br /><br />1.  Tastes much better when cooked 10-11 minutes at sea-level (the box recommends 8-10), the texture is less rough and gummy and is more noodle-y.<br /><br />2.  Adding fresh herbs with the cheese sauce.  It gives a depth to the flavor.  My favorite herb to add (so far) is cilantro (add about 1/3 cup chopped after mixing in the cheese sauce).  Other enjoyable variations were adding 2/3 cup of Italian parsley or 1/8 cup fresh dill leaves.",2021-01-02,***,19,19
R38100,B000E18CS2,A2X1XUT26NRICX,Not as advertised,"Rice noodles taste pretty much alike, but this is the second time I have ordered rice noodles from Amazon in the last two weeks only to discover they are not as advertised on the website. In this case the website states that these noodles are made in the US. They are not. The box states they are a product of Thailand. I do not appreciate this misrepresentation at all.",02 Jan 2021,*,5,13
R38033,B000QNR2WA,A3F3R3G20O9XZO,Take DISCLAIMER seriously!!!!,"I recently ran out of our home-prepared blend of Berbere spices, and hoping to find a fairly good blend pre-pared, I ordered this based on the list of ingredients and the fact that it's pictured in a spice container.<br /><br />Although I received my order quickly, my first disappointment was that the spice blend (I hesitate to refer to it as ""Berbere"") arrived in a plastic, resealable pouch. Ugh! Everyone knows that ""resealable"" pouches are seldom resealable after one or two openings - especially with a powdered product. I'll have to find an alternative way of storing it - perhaps when I have some other spice container that is empty.<br /><br />My greater disappointment was over the fact that the ingredient list on the package did not match the ingredient list on amazon AT ALL!!!<br /><br />The ingredients on the site are listed as including: ""nutmeg, cloves, fenugreek, ginger, ajowan seeds, coriander, cumin, black pepper, allspice, cardamom, Ethiopian chili peppers...""<br /><br />The ingredients on the label of the package I received reads as follows: ""cumin, paprika, New Mexico chili peppers, cayenne pepper, de arbol chili peppers, nutmeg, ancho chili peppers, Ajwan seeds, cardamom, turmeric, garlic, salt and other spices"".<br /><br />I'm sure I'll get some use out of this spice blend - it should go great in chili, but it barely resembles authentic Ethiopian Berbere seasoning. I'm an amazon prime customer so was snookered into purchasing this over another product that showed up in my search b/c this one was sent w/ free shipping.<br /><br />I may order the Ethiopian Berbere seasoning (also known as ""Berber Spice"" from Nirmala's Kitchen here on amazon, even though I'll have to pay for shipping. For those interested, there are many other exotic spice blends and recipes available at nirmalaskitchen dot com",02 Jan 2021,*,17,20
R380952,B005LXGGH2,A3S76TKGIJ8031,Clif Crunch bars,"Just when you think you're eating healthier - you research to find out ""Your NOT"" with Clif Products. Theirs so much sugar, carbs & fats in these products that you might as well eat cookies or candy bars. They definitely taste better and you get the same sugar & calories.",2021/01/02,*,3,21
R499921,B009B87SAC,A3O6KWUXYFECY0,"BAD, do NOT buy!","Chicken by-product, corn gluten meal, and whole ground corn?!!  Yeah, I'm NOT feeding my cat that, sorry. Googling ""corn gluten meal"" shows that it is used as an herbicide according to U.S. Patent # 5,030,268. If you Google ""U.S. Patent 5,030,268"" you will find out.  By-products are all the nasty parts of the chicken, turkey that humans won't eat: feet, neck, spleen, intestines that have bad effects on health. After all there are reasons why humans don't eat these parts, correct? So why should our pets? A good book that explains about by-products and manufacturing is The New Natural Cat by Anitra Frazier.  Because of these ingredients being in most cat foods, I buy Tractor Supply's 4HEALTH INDOOR dry food. Compare the ingredients in the Science Diet food to 4HEALTH and you will see the differences. 4HEALTH is a much better quality product with no corn, wheat or soy at HALF the price.",02-01-2021,*,13,33
R34143,B000P3U70K,A1NR72NIZCG1WK,Delicious,Love this popcorn and eat it often.  I wouldn't say its totally hulless....but 90% less get stuck in my teeth.<br /><br />Also had the same issue as other reviewer...bag split open inside the cardboard box.  Popcorn was spilling out of the box as the UPS man brought it in.  Amazon refunded me for it.  If someone at Whirley-Pop is reading this....thicker bags please!<br /><br />I do plan to purchase more when this runs out.,02 Jan 2021,*****,12,12
R19842,B00390T5JA,A3RWTU980OTQBS,Keurig review,"coffee maker is okay, but does not make a full cup of coffee, even when you select the larger cup. Kind of dissapointing.",01-02-2021,***,15,16
R37916,B000F6SNPS,A1RRMZKOMZ2M7J,The best sun tea .... ever,"During the summer months, I enjoy iced tea and prefer to make sun tea because it's so darn simple & energy-efficient. But finding tea that does well in the sun is difficult. The regular teas (black, green, white) become bitter when left standing too long, not surprisingly a requirement for sun tea. The herbals (fruits, chamomiles, mints) never seem to steep well in the sun and are generally bland & lack-luster. But this tea ... ah, heaven. Deep, robust, sweet, well-rounded. Personally, I think it is better as a sun tea than steeped the traditional way with hot water.<br /><br />This tea steeps well in morning or afternoon sun. I always use glass (never plastic) and 6 bags for about 1.5 quarts. Makes a fantastic tea in 3-4 hours, and letting it sit for a couple more hours produces a tea that definitely needs to be watered down. Needs no sugar, no lemon. Perfect as is. Awesome, just awesome. I wouldn't go a summer without it.<br /><br />I pick it up at Trader Joe's, and occassionally I find it at Target and Wal-mart. Nevertheless, considering that shipping is included in a subscription, Amazon's S&S price is fair and on-par with B&M retail outlets.",02-01-2021,*****,10,12
R136454,B006Q820X0,#oc-R14ZUK54VMOGJS,K Cups don't work right,"Like so many other reviews, I must add my displeasure to the list. The cups are certainly not what I am used to using and I have used just about every brand out there. Mine either fall apart or don't brew. I don't recommend them at any price.<br /><br />UPDATE: After leaving the above review, the company rep made a big deal out of working on things to fix this issue and most importantly promised to fulfil replacement of the bad cups. It has been a month now for those replacement cups, doubt I will ever see them. No response to emails either. I still stand on what I said, ""I don't recommend them at any price.""",2021/01/02,*,7,14
R560531,B000CQID1K,A2WBH4ZM4J8RDK,One (hundred) Guilty Pleasure,"100 4"" Slim Jims!  When the box arrived, the temptation to eat myself into an instant gluttony-fueled  stupor was nearly overwhelming.  However, sanity prevailed and I'm proud to say that my will-power will allow me to enjoy these treats at least through Christmas.  A great buy, if only for the strong-willed.",01-03-2021,*****,15,16
R96485,B002SZHWNS,A2BAN665U99JG7,Very very disappointed.,"I was excited to purchase this product because gluten free oat bran has not been available in the US until now...gluten free oats, yes...but not oat bran.  For the past two years, I have been purchasing my gluten free oat bran from Canada and have been very pleased with the quality of the product and their customer service.  However, I thought I would try this company to minimize my shipping costs.<br />I received the product quickly; however, when I opened the plastic bag which contained the oat bran, there was a faint, but distinct, odor that I can only describe as sour milk.<br /><br />I notified the company via e-mail through their website and questioned what I might be smelling and whether I received oats that may have gone rancid.  When I did not receive an answer after a few days, I notified them again and added my complaint of poor customer service.  I received an e-mail and a telephone message assuring me that their oats were fresh and had a shelf life of another eight months.  She further explained that they were raw, unprocessed, unsteamed oats and very nutritious.<br /><br />Okay, I thought, so maybe oats that are raw, unsteamed, unprocessed and nutritious have an offensive odor. I am always open to eating foods in their most natural state.  For a few days, I ate the oat bran each morning even though it had a sour, as well as a sweet taste that I am not accustomed to.  I e-mailed the company again to let them know that the odor and taste did not seem right to me.  I asked if they would describe to me the odor of raw, unprocessed, unsteamed oats; but after a week, they have not responded.<br /><br />So either raw, unprocessed, unsteamed oat bran smells like sour milk and has a sour/sweetish taste or the oat bran that I received was rancid.  I guess I'll never know since they won't describe to me what it should smell and taste like.  Whatever the case, I won't buy it again.  I didn't enjoy the taste, as well as the odor.",03-01-2021,*,15,16
R75574,B0025WGHEE,AF11JACGL9RF4,TOO EXPENSIVE,I just bought five of these kegs of Gatorade for $30.00 total at Sam's Club.  Don't waste your money buying this here.,03-01-2021,*,52,56
R176795,B0019413WA,A1SZJL8OW5NTQ6,Made in China (Throwing mine out),Intended as a school safe snack for my daughter to take to daycare.  I discovered they are MADE IN CHINA.  I'm Chinese and for safety reasons we avoid foods that are made in China.,2021-01-03,*,11,13
R244609,B002Z08ROO,A2YHXAZLCLDT8D,buy a canned coconut water..you do not get all the good stuff,"I have read this about the brand..Amy Brians, like all canned coco water this brand is ""cooked"" coconut water. Unlike tetra paked coco water (vita coco and ONE)which is only flash pasteurized for 3 seconds, canned coco water is heated at extremely high temp for long time which cooks out all the vitamins and minerals and electrolytes. So there is no potassium left. Its basically like goya (really cheap brand that has been around for years) canned coco water without the added sugar and pulp.<br /><br />If you want all the good stuff and TASTE.. I would rate them<br />vita coco  ..10<br />ONE.......... 8<br />Zico......... 2<br />cans.........-10",03 Jan 2021,*,10,19
R478619,B001467JYO,ADS1Z3YUS8IWV,Quality ? ? ?,"This is a tea with a nice flavor and color, but nothing really special. It has a different flavor than green tea and is not strong like black tea. It is not bitter, but pleasant. It comes in 3 separately sealed, airtight bags. I have used about 1/2 half of the box so far.<br /><br />I have noticed that a rather high percentage of the tea bags are missing the staple that holds the string on, or the string is cut in the middle. Without the staple, the teabag opens up in the hot water and lets out the leaves. Another defect that I have found in several of the bags is that the envelope was inaccurately folded and stamped. It causes the envelope to be crooked and in some cases it cuts part of the corner of the teabag so that leaves leak out while steeping.<br /><br />Although I have continued the use the tea I have on hand and I do enjoy it, I now doubt the quality of the tea judging by the quality of the bags. I would think that if the company made high quality tea, they would work a little harder on the quality control of the bagging equipment. I will most likely not order it again.",03 Jan 2021,**,9,13
R341935,B000ESJR20,A1VE1GGV2HDPG8,No Equal,"We were the grind your own beans, french press coffee people.  Till I decided to try this from a local Co-op.  I'm not sure why since I wouldn't even think about buy pre-ground coffee such as Folgers, let alone drink instant coffee.  But boy am I ever glad I tried this product.  It's super easy, quick, tastes amazing, rich and bold without the acidic after taste.  Okay it's instant coffee, so keep that in mind but if you looking for a quick coffee fix, you won't be disappointed.",01-03-2021,*****,29,30
R49348,B000IHNCQO,A2F0JHRI46EFB0,Crunchy Relief!,"Although the I agree w/the previous review to a point, the many flavors that this product comes in have helped me GREATLY through my crazy-crunch attacks! Yes, they have a unique taste at first, but I'm oddly attracted to these critters now! I say to give 'em a try...I'm addicted.",01-03-2021,****,15,15
R126720,B003IHO8LE,A1FDKM561MUQJM,Taste ok. No effect.  A lot of fake reviewers on this product.,"Got absolutely nothing from it.  It did taste decent, not worth $2.50 for the bottle, but at least it didn't taste like crap AND do nothing.<br /><br />This comment will probably get pushed down quickly; It looks like whoever is selling this product does the thing where whenever a somewhat negative review appears, they quickly create some accounts and give this a 5 star rating and vote helpful for all of the other previous fake 5-star comments.  The way you can usually tell is go threw and click the link that says ""see all my reviews"" by the 5 star comments; on many of them you will see this is the only product they have ever rated.  That's pretty fishy.",01-03-2021,**,42,50
R198171,B000QY9YDY,A37I6B2ZCDFIQX,phenomenal taste,"I've been brewing coffee manually for many years, using a plastic cone filter holder.  I recently switched to this porcelain filter holder, and it really brings out a huge improvement in the taste. The porcelain conducts the heat better and eliminates any kind of plastic taste. With the cap on, the coffee stays warm for about an hour.<br /><br />Two complaints: the #4 paper filters are a bit too small; you can actually use a #6 filter. Also, there is only one hole in the filter holder, so brewing can be a bit slow sometimes, and when I do try to rush things, there is sometimes clogging which requires my adjusting the filter a bit.<br /><br />But this porcelain filter holder does produce the best coffee I've ever had at home, a coffeehouse, or a restaurant. With coffee, lo-tech and slow-brewed is always the best way to go.",2021-01-03,****,39,40
R410720,B003L4BV5U,A3SBV08G80GM3,"Perfect for travel, fits all screw-top pouched baby food","Bought this at Babies R Us.  They are perfect for feeding baby on the go directly from the pouched baby food.  Although it says it was designed for Plum, it indeed fits most pouched brands including Plum, HappyBaby, and Ella's Kitchen).  The dispensing hole is bigger than some of squeeze top feeder so you can feed meals that are a little bit chunkier than puree food.  Pouched baby food is already easier to pack than jarred food, with this spoon, pouched food is the way to go for traveling with babies!!!",01-03-2021,*****,15,15
R555932,B004RYLQSA,A29VCB1YHD5IEL,the best of the best,"My husband and I are crazy about Coffee People k-cups.  A friend gave us a box of the ""Donut Shop"" cups and they are spectacular.  Very rich and bold, not bitter, but packs a nice punch.  Reminds me of coffee from an old-fashioned percolator.  A good, strong cup of coffee is hard to come by when you are using some of these newer brewing machines, but the Keurig system is definitely the exception and this variety of k-cup is the best we have ever tasted.",04-01-2021,*****,52,55
R235695,B0007ZPY18,A3LNX5S52F2IG4,Blue Mountain Experience,"I am a coffee lover of many years and as such am always interested in finding good coffees.  This was my first time to try blue mountain, and purchasing it with a gift certificate allowed me to be a bit more extravagant than I otherwise would have been.<br /><br />While the coffee is good, I don't find it to be superior to other coffees I have ordered which are considerably less expensive.",01-04-2021,***,12,18
R306677,B000KNB0OW,A1ZSJNSRZCNCS1,Almost as good as Mccann's,"I love irish oats.  This style of oats is simply the best bowl of cereal period.  I eat at least one bowl everyday.  That said, all steel cut oats are NOT the same.  As many people know, there is no comparison to the taste of Mccann's Irish oats.  Why are they better? Honestly, I don't know.  Maybe because they're Irish.  Anyway, I have previously tried other types of steel cut oats and quite honestly, they were no comparison.  Well one day recently, when I was shopping and realized that I was out of Mccann's, I found that my grocery store was out.  Right next to the spot was this brand of oats.  I had tried the Country Choice Rolled Oat and Multigrain cereals, and they are both great.  So I figured I'd give it a try.  They are very, very good.  These are as close to Mccann's as you can get.  Since they are about half the price of Mccann's, I figure i will switch between these two.  In summary, these are a great choice if you can't get Mccann's or if you prefer a cheaper breakfast.",04-01-2021,*****,36,37
R184168,B00764BRSC,A35ZDE63E9JPX0,Leaks,"I tried all of the different disposable products.  Waisted like 60 bucks on all of them.  Amazon was loving me.  They ALL leak.  I am back to regular manufacturer K-Cups or the My K-Cup (the one you can get in the store) (That's the only one that doesn't leak).<br /><br />I even went online and checked out the reviews that said to move the rubber seal down on the needle, it didn't work.<br /><br />Keurig is designed to brew with high pressure.  To do that, you need an airtight seal.  This doesn't provide that.  That is why Keurig is not selling these in the store next to their machines.",01-04-2021,*,13,15
R150344,B003VG0MYY,APFPGYUV9AB2J,Delightful by any other name is TJ's seaweed,"OMG, I was given seaweed as a kid by my father as a snack and when I saw these at Trader Joe's for 99 cents a package, I figured I would give it a try. It is like heaven in a package. Sooooo good. Run, don't walk, it's the best. Beats chips, pretzels and I even chose this over my beloved popcorn. FABULOUS!!!",04-01-2021,*****,17,17
R547148,B000HDKZCS,A23M28IQREQGQZ,Buyer Beware--I got screwed,"Why can't I give this a negative amount of stars???<br /><br />I love these cookies and have bought them from Amazon before. The expiration date was always just a few months away--but I love them and had no problem eating all six packages in a short time.<br /><br />This time, I got my shipment May 2009 and the cookies all had a ""best used by March 09"" date on them. So....Amazon has now sunk to shipping goods past their expiration date. I haven't eaten any of them yet---I kind of turned off by the idea they are two month beyond the date they should be taken off the shelf.<br /><br />I will  never buy these from Amazon again unless Amazon can assure me the product will be fresh.",2021/01/05,*,5,12
R185004,B0005ZIC1O,A30A5I8FG82M2E,The white woman has an opinion,"Listen up, I'm a big-boned gal who has yo-yoed in weight over the years. Thankfully I'm currently on a downswing, and I hope it stays that way.  Which brings me to Hostess Twinkies which are very overrated.  This is one of my least favorite Hostess snacks, if you want the truth.  The sponge cake is stinky.",05-01-2021,**,6,15
R151423,B000EDDSES,AT5V18J7Q2S3A,Good but could be even better,"It seems hard to find great muesli these days. I think this is one of the better ones, and I do buy it. However, I wish those making muesli would heed the latest nutritional advice. For example, nutritionists say that the ratio of omega-6 to omega-3 fatty acids is important and that we generally get too much of the omega-6 fatty acids and not enough of the omega-3's. This muesli would be a lot more nutritious if it replaced the large amount of sunflower seeds (high in omega-6 fatty acids) with walnuts (high in omega-3 fatty acids) and almonds. And to me that would make it taste better too. I also wish they would make a version without all the raisins and dates, allowing one to add fresh fruit (e.g., raspberries, blackberries, strawberries, etc.) instead of dried fruit.<br /><br />I was in Australia last spring and found great muesli there not only meeting these nutritional criteria but tasting better than this or most other muesli. To me nuts are an important part of good muesli. But I'm being a bit of a purist, I know, and a friend tells me I'm a food snob, so take my opinion with that in mind!",2021-01-05,***,32,36
R486642,B0014AUJII,A20X23WJLV4R5X,tasty Maybe beneficial,"My midwife recommended this product, and I drank it throughout my second and third trimesters. My labor was slow, but I experienced nothing you might really call pain (pressure and some discomfort) all the way to 9 centimeters. Then I pushed 3 times and my son was born. I'm not saying for sure that it was the tea...but I didn't have labors like this with my other two.<br />At any rate, it's tasty and not harmful. Just remember to tell your midwife or doctor that you're using it. I still drink it just cause I like it.",05-01-2021,*****,18,18
R549136,B000WV153I,AL33EFR1FCC0E,Wrong product!,"I ordered coconut butter, and received coconut oil.  Wow.  Awesome.  Best part is that when I put in to return it, I'm not able to exchange it for the correct product.  So, I have to sit and wait for a refund.  This is unacceptable and quite inconvenient.  When the invoice clearly says ""butter,"" why do you send ""oil?""",05-01-2021,*,1,17
R38800,B000EGZ9AG,A3M5VP5DH2F02O,Not Genuine Basmati,"Texmati is a brand name that mimics the word Basmati and this rice should not be mistaken to Basmati Rice that grows in the foothills of the Himalayas. Basmati rice is known for its long chain carbohydrates structure (conversion of starch into sugar is slower) vs short chain carbohydrates in any other type of rice, including Texmati, a glorified name for long grain American rice thats no different than any other brand long grain American rice, where starch turns into sugar fast and not suitable for healthy eating, especially diabetics (unlike genuine Basmati). For the same price or less you can shop at a local Trader Joes and pick up genuine Organic Basmati from India. Avoid this product its a total ripoff. Not the real deal.",05-01-2021,*,11,16
R498048,B0013NBM5A,A1E7G56OX03JKO,Slightly Rancid Taste,"Although these pistachios aren't supposed to expire until next year, they are slightly rancid, which ruins both the taste and the health benefits.  Amazon doesn't allow returns on food items, so buyer beware!",05 Jan 2021,**,36,37
R319484,B003VWBZLC,ANFBXZLR7I236,American Kennel Club Chicken Poppers,"One would assume that American kennel club chicken poppers would be manufatured in the United States, however these are not made in the usa. Had to return the product.",05-01-2021,*,14,15
R67842,B000G6MBUA,A1BXG0K7UD9CTD,They changed the Chips now they taste horrible,"I once loved these chips and they were the only chips i would buy.  I discovered them when I was in England back in 2000 and quickly became a fan.  About a year ago I picked up a bag that was on sale at my local supermarket.  I was finding it odd that they were on sale so much but took advantage of it.  After opening the bag I found the chips were not even close to the Kettle chips I was used to.  They were all uniform whitish yellow in color, flavor was way off, the lovely extra crisp brown chips were gone completely and I was very disappointed.  So I e-mailed Kettle with the following:  ""What Happened? I bought this bag of chips the other day and they have a very different taste; It tastes ""cheaper"". I don't know how else to put it... I also noticed that the chips seemed to be less cooked as I did not see any of the browner colored chips that have the most flavor. I am hoping that nothing has changed with the ingredients or process used to produce this product. Did I just get a weird batch? I have been buying only Kettle Chips for about 10 years now so I am wondering.""  I did receive a reply: ""Thanks for letting us know about your experience with your Kettle Brand® Chips. It sounds like you may have received a bag that should not have slipped by our inspections, and we apologize.Our potatoes do vary seasonally which could account for a variation in color-but our chips should still taste great!Thanks for providing us with the ""best before"" code from the bag.  This really helps when passing on your comments to our staff.<br />We are sending some coupons to replace your purchase with any of our Kettle Brand® flavors or nut butters, believing you will have a great experience with your next purchase! In case you buy this product again, we suggest avoiding the same best before date (if you still have it) in the rare instance another bag from the same case slipped by our inspections at the same time.<br />Thanks again for letting us know about this and expect the coupons to arrive within 3 weeks.  Please let me know if I can be of any more help.""  Well the next bag was good.  Since that time I have picked up 3 bags of chips all were like the ""bad"" bag so I am pretty sure that they have changed there product to reduce cost.  I did some research and found out that Kettle was bought out by a private equity company.  So the same cookie cutter management processes are probably being employed at Kettle.  Acquire company with high quality brand recognition, sell product to mass merchants, lower quality/cost of product to increase margin and finally sell company just before the customer base starts to realize that the brand is no longer a quality brand.  increased profits make the company more valuable on paper so they make a nice profit for the investors. Customer and employees lose out of course as does an unsuspecting buyer of the exploited brand.  Stay away from Kettle chips they are no longer the same...",05 Jan 2021,*,20,27
R417370,B000GG0BOI,A1KKGUI8WSEBZ4,Niiiiiiiice.....,"A friend recommended this tea, saying that it basically knocked her out at bedtime. I have two small kids so that really isn't a problem, but I liked the idea of a nice relaxing tea to enjoy during a little quiet time at night.<br /><br />This tea is wonderful. I brewed it up, enjoying the vapors, then drank it in a leisurely fashion (while watching ""Scrubs"", but that's neither here nor there). It is very tasty. My cat wanted to eat the teabag in a big way, which was charming. Then she climbed up on my lap to smell my breath, which was just adorable.<br /><br />I didn't doze off on the couch, which I half-expected based on what my friend had said, but I was verrrry melllooooooow. In a good way. A very good way.<br /><br />If you love tea but can't drink the caffeinated stuff at night, try this. It is yum.",2021/01/06,*****,13,14
R127063,B000P6MSOU,ADQ7ANPQNGY5Z,Austin Cookies & Crackers Veriety Pack,Good selection of single-serve cookies and crackers...handy to have around because there's something to please everyone. Good price and the product shipped quickly...,06 Jan 2021,*****,14,16
